nombre,turno,direccion,lng,lat,id
Farmacia COSMOS av.Julio Méndez,"{'hora_inicio': '10:00', 'hora_cierre': '19:00'}","Julio Mendez 1250, Cochabamba, Bolivia",-66.1646252,-17.3779964,3VZjnASQ6FnIYqsPTY3f
Farmacia Cochabamba,"{'hora_inicio': '07:00', 'hora_cierre': '22:00'}","JR4R+WVC, Av. Heroínas, Cochabamba, Bolivia",-66.1578929,-17.3925389,3y35uGI4G3NPm5X5BFYg
Farmacia Savi Salud Vida,"{'hora_inicio': '09:00', 'hora_cierre': '19:00'}","JRFM+2RM, Jose Quintin, Cochabamba, Bolivia",-66.1654582,-17.3774131,6PhQuN2wsYKsNnKmZnPj
FarmaElias,"{'hora_inicio': '11:00', 'hora_cierre': '23:00'}","Av. Belzu N° 389, esq. Calle, R.Torrico, Cochabamba, Bolivia",-66.1422334,-17.392649,6r8WOYoITt3n9claWExn
Farmacia ACUARELA,"{'hora_inicio': '09:00', 'hora_cierre': '19:00'}","GQXX+7GX, Cam. a Itocta, Cochabamba, Bolivia",-66.20113429999999,-17.4517183,7OXK3v8JVapP3BixstFi
Farmacorp - Sucursal Oquendo,"{'hora_inicio': '06:00', 'hora_cierre': '20:00'}","Av Oquendo 486, Cochabamba, Bolivia",-66.1512652,-17.385739,8N3sW4Iu0Mhs7YcougHS
Farmacia Bolivia,"{'hora_inicio': '09:00', 'hora_cierre': '21:00'}","JV83+897, Cochabamba, Bolivia",-66.146562,-17.3841828,9qpTLJ1qCyve26g5H4s4
"Farmacias Chavéz, Sucursal Beijing","{'hora_inicio': '07:00', 'hora_cierre': '17:00'}","JRHC+G46, Cochabamba, Bolivia",-66.1797425,-17.3712204,CiBuzCjBspBeb8UO3q7s
"FARMACIA ""AYZAMA""","{'hora_inicio': '10:00', 'hora_cierre': '21:00'}","2500, Cochabamba, Bolivia",-66.17358300000001,-17.3461529,Fx6k1POKrtU2lrQWi9N5
Farmacorp - Sucursal Villazón,"{'hora_inicio': '07:00', 'hora_cierre': '23:00'}","JV8Q+JPR, Bolivia",-66.1107222,-17.3834014,G4HFYA3v5fk5wBeottEU
Farmacia Fiel,"{'hora_inicio': '07:00', 'hora_cierre': '16:00'}","J.R.Molina #2565, Cochabamba, Bolivia",-66.157372,-17.4196996,JJLnSe0z5JC8CCuxSiSg
Farmacia San Benito,"{'hora_inicio': '10:00', 'hora_cierre': '23:00'}","JRV7+JGV, Cochabamba, Bolivia",-66.1862352,-17.3559115,JZJqHSBEIV5oaLO4Stv8
Farmacia Kundalini,"{'hora_inicio': '11:00', 'hora_cierre': '23:00'}","Av. Segunda Circunvalacion, Cochabamba, Bolivia",-66.1812978,-17.3426148,Jlh8lruJN8T5oOGFLR6F
Farmacias Bolivia,"{'hora_inicio': '11:00', 'hora_cierre': '22:00'}","JR5V+3QQ, Sucre, Bolivia",-66.15545,-17.3922916,MP4tsXFw3qabyv7B5glR
Farmacia FarmaElías - Suc. Prado,"{'hora_inicio': '09:00', 'hora_cierre': '18:00'}","Av. José Ballivian 782, Cochabamba, Bolivia Paseo El Prado, Av. José Ballivian 782, COE, Cochabamba, Bolivia",-66.15787170000002,-17.3844058,MPVUoeuWywtqDoB7xXq6
Farmacias BIOSUR,"{'hora_inicio': '10:00', 'hora_cierre': '23:00'}","V.Del Carmen, Cochabamba, Bolivia",-66.15634469999999,-17.4346932,NzyCcqN677DinHC3aYFh
Farmacorp - Sucursal San Martin,"{'hora_inicio': '10:00', 'hora_cierre': '20:00'}","JR4W+F9V, C. San Martin, Cochabamba, Bolivia",-66.1540873,-17.393766,O64DH6KOf0o7b96QWM9T
Farmacia VidaFarma – Av. Petrolera,"{'hora_inicio': '07:00', 'hora_cierre': '19:00'}","km 4.5, Av. Petrolera, Cochabamba, Bolivia",-66.14081329999999,-17.443529,QclDa4KPOnnp7DTzKtqq
Farmalux Suc. Beijing,"{'hora_inicio': '11:00', 'hora_cierre': '23:00'}","Av. Beijing, esq, Cochabamba, Bolivia",-66.18145799999999,-17.3828176,UkCtRykFvRrnqlKRFW9l
Hipermaxi Av. Villazon,"{'hora_inicio': '10:00', 'hora_cierre': '18:00'}","Av. Villazón Km 3, Cochabamba, Bolivia",-66.11900779999999,-17.3820697,VJYcrR91WbgVKaefrR0f
Farmacia Brenely,"{'hora_inicio': '09:00', 'hora_cierre': '21:00'}","HRFM+RVP, Federico Jimenez, Cochabamba, Bolivia",-66.16528389999999,-17.4254171,W7uJ69BSiRvVxGkMBOP3
Farmacia Artemisa,"{'hora_inicio': '08:00', 'hora_cierre': '22:00'}","C. 27 de Agosto 506, Cochabamba, Bolivia",-66.1630327,-17.3975561,Wc4UXuhaMbYwNoTKl0sF
Farmacorp - Sucursal America,"{'hora_inicio': '10:00', 'hora_cierre': '21:00'}","Av. América y, Cochabamba, Bolivia",-66.1509283,-17.3734687,YMzqcF93WeDA9U86elzV
Clínica Copacabana,"{'hora_inicio': '06:00', 'hora_cierre': '17:00'}","Potosi 1253, Cochabamba, Bolivia",-66.1542644,-17.3777596,Yj8LY0S4VgEcDv1EDewh
Hipermaxi Juan de la Rosa,"{'hora_inicio': '11:00', 'hora_cierre': '19:00'}","AREA Cochabamba, 207033, Av. Juan de La Rosa, NRO, Bolivia",-66.172557,-17.3767841,YjyNFiq1OsprNKQcou9q
Farmacia bendito jesus,"{'hora_inicio': '10:00', 'hora_cierre': '21:00'}","JQ54+MVQ, Av. Calle Blanco Galindo &, Sta. Cruz, Colcapirhua, Bolivia",-66.2427692,-17.3907775,Ynkw8bXGZAPKIqrFdClm
Farmacia Zurich,"{'hora_inicio': '10:00', 'hora_cierre': '20:00'}","JVGM+P99, Cochabamba, Bolivia",-66.116505,-17.373211,YwF0lK2rdilKLYXksP8s
Farmacia Bolivia,"{'hora_inicio': '09:00', 'hora_cierre': '18:00'}","JR3W+2J9, C. San Martin, Cochabamba, Bolivia",-66.1533974,-17.3974734,ZpRF4gpVRfPtZau7jsCJ
Clínica Los Ángeles,"{'hora_inicio': '06:00', 'hora_cierre': '14:00'}","Av. Juan de la Rosa y, Cochabamba, Bolivia",-66.1644592,-17.3788429,aeYzdCkWG37nrm0OQJrT
Farmacorp - Sucursal Adela Zamudio,"{'hora_inicio': '11:00', 'hora_cierre': '20:00'}","Av. América y, Cochabamba, Bolivia",-66.16404159999999,-17.3721617,cFTzaF031qLUOev1ZODG
Dosis Farma,"{'hora_inicio': '08:00', 'hora_cierre': '21:00'}","JR6X+G92, C. 16 de Julio, Cochabamba, Bolivia",-66.15159899999999,-17.3887308,cQBnA8lTTvEAQE8CcOHs
Viedma Hospital,"{'hora_inicio': '06:00', 'hora_cierre': '23:00'}","JV72+VR3, C. Venezuela, Cochabamba, Bolivia",-66.148626,-17.3855671,dKxMqrNIvuqC2WFdBLVi
Farmacia Adonai,"{'hora_inicio': '06:00', 'hora_cierre': '22:00'}","HRCR+658, Av. San Barbara, Cochabamba, Bolivia",-66.1595389,-17.4294119,eMZYvRo34sIPXIKqrvvA
Farmacia Nueva Zelanda,"{'hora_inicio': '06:00', 'hora_cierre': '22:00'}","HRXW+5J9, San Martin & I.Montes, Cochabamba, Bolivia",-66.1534185,-17.40208,eZ5GfoyswqnoS3jaHECd
farmacias Bolivia,"{'hora_inicio': '06:00', 'hora_cierre': '23:00'}","JR7V+683, Av. José Ballivian, Cochabamba, Bolivia",-66.1567002,-17.3869966,eeRcqnbsFU7bnQTuQIo2
Farmacia Farma Center,"{'hora_inicio': '09:00', 'hora_cierre': '19:00'}","Av. Aniceto Arce 380, Cochabamba, Bolivia",-66.14862029999999,-17.3877922,fDHjmOVbRbLFdZCA6Mc9
Farmacia Boliviana,"{'hora_inicio': '08:00', 'hora_cierre': '19:00'}","JR3V+VMH, Pl. 14 de Septiembre., Cochabamba, Bolivia",-66.1557675,-17.3953179,gtTZ43OeVZ1QbFBpkuWe
Farmacias Bolivia,"{'hora_inicio': '09:00', 'hora_cierre': '20:00'}","Calle 25 de Mayo y, Cochabamba, Bolivia",-66.15432129999999,-17.3991941,iBbMKqRszTmK60ed17s8
Farmacia Guadalupe,"{'hora_inicio': '06:00', 'hora_cierre': '22:00'}","JV8R+X9F, Sacaba, Bolivia",-66.1090748,-17.3825718,iBoLIg1T9K3tdnu2Ue17
"Farmacia Chávez, Sucursal Suecia","{'hora_inicio': '10:00', 'hora_cierre': '22:00'}","HVJ2+5GC, Cochabamba, Bolivia",-66.1487238,-17.4195725,ipfBigpaQtpak2iUusOC
Farmathias,"{'hora_inicio': '09:00', 'hora_cierre': '21:00'}","HRMQ+GC8, Cochabamba, Bolivia",-66.1614539,-17.4162421,jejpKj6AL7eMDqShQ4mq
Farmalux Suc. Cala Cala,"{'hora_inicio': '11:00', 'hora_cierre': '20:00'}","Man Cesped 122, Cochabamba, Bolivia",-66.1645106,-17.3683821,jgIS2KZIG1y17Spjr0vS
Farmacias el descuento %,"{'hora_inicio': '11:00', 'hora_cierre': '20:00'}","Av. De La Fuerza Aerea y, Cochabamba, Bolivia",-66.16532819999999,-17.4135577,jhXcS3o7KfjHs7r2RdTa
farmacorp - Sucursal Huayna Kapac,"{'hora_inicio': '10:00', 'hora_cierre': '22:00'}","JR2P+C5G, Av. Huayna Kapac, Cochabamba, Bolivia",-66.16453849999999,-17.3989458,k75LahSIKmPusMe6TrXO
Farmacorp SigloXX,"{'hora_inicio': '10:00', 'hora_cierre': '18:00'}","Guayacan 4724, Cochabamba, Bolivia",-66.1354673,-17.4238535,ktXD2Dnd6nWXYFRJedND
Farmacia Angeles del Sur,"{'hora_inicio': '09:00', 'hora_cierre': '17:00'}","HRCR+F42, Av. Panamericana, Cochabamba, Bolivia",-66.1597716,-17.4288494,lelhIhlLWvlPxEiIfpJd
Farmacia Cristo Llama,"{'hora_inicio': '10:00', 'hora_cierre': '19:00'}","JR3X+RQ8, Cochabamba, Bolivia",-66.1505238,-17.3954596,mEJL454cHmJgH4dpwaNs
Farmacia ¨San Andres¨,"{'hora_inicio': '10:00', 'hora_cierre': '18:00'}","2500, Cochabamba, Bolivia",-66.1533187,-17.3998326,myJaHHBvZdB3hQc6974n
Farmacia Hispana,"{'hora_inicio': '06:00', 'hora_cierre': '21:00'}","Ladislao Cabrera 0284, Cochabamba, Bolivia",-66.1556578,-17.3975187,nLNRSzeaJnlxVAKZyJW1
"Hipermaxi, Torres Sofer","{'hora_inicio': '10:00', 'hora_cierre': '23:00'}","Av Oquendo 630, Cochabamba, Bolivia",-66.1511039,-17.3846827,nh58E3NeYTh5i8X8XaK3
Farmacia Padre Eterno,"{'hora_inicio': '06:00', 'hora_cierre': '14:00'}","JR2X+M66, Cochabamba, Bolivia",-66.1519838,-17.3983394,oMkl2JVwzayPpisj34nV
Farmacorp - Sucursal Dorbigny,"{'hora_inicio': '07:00', 'hora_cierre': '23:00'}","JR6C+J5G, Av. Melchor Pérez de Olguín, Cochabamba, Bolivia",-66.1795508,-17.3884413,ofqcZTH5BFye6s9MncuP
Farmacia FarmaElías - Suc. Av. Segunda,"{'hora_inicio': '08:00', 'hora_cierre': '18:00'}","0301 Av. Segunda, esq, Cochabamba, Bolivia",-66.19740580000001,-17.3924259,qyh6GBmVepKxKy93bHsy
Farmacia BRILLASOL,"{'hora_inicio': '11:00', 'hora_cierre': '23:00'}","HVG8+FCG, Guayacan, Cochabamba, Bolivia",-66.1339161,-17.4238229,rpQ7i7geRxRYQyViq4yl
Farmacorp - Sucursal El Prado II,"{'hora_inicio': '09:00', 'hora_cierre': '21:00'}","JR7R+MWF, España, Cochabamba, Bolivia",-66.1577695,-17.3858088,sMXgkMeMZkaCYUk2rdIU
Clínica Aranjuez,"{'hora_inicio': '07:00', 'hora_cierre': '23:00'}","Juan Crisostomo Carrillo 906, esquina, Cochabamba, Bolivia",-66.1536337,-17.3823202,si4c3M2e8QjHP8QdvSG8
Farmacorp - Sucursal Melchor Perez,"{'hora_inicio': '07:00', 'hora_cierre': '16:00'}","Cochabamba, Bolivia",-66.1755628,-17.3714912,t7PD9tAmX6f6yzgQipeL
Farmacia Dr.Farma,"{'hora_inicio': '09:00', 'hora_cierre': '17:00'}","JVGM+PGF, Av. Circunvalación, Cochabamba, Bolivia",-66.1162068,-17.3731888,x26iHlwpybMsDJppZGXn
Farmacia Farmaventura,"{'hora_inicio': '06:00', 'hora_cierre': '17:00'}","Av. Humberto Asin Rivero, Cochabamba, Bolivia",-66.11673429999999,-17.4418214,xHbAvrkdUY6XMFrHGWBJ
"Farmacias Chávez, Sucursal Loreto","{'hora_inicio': '11:00', 'hora_cierre': '23:00'}","Av. Panamericana esquina, Cochabamba, Bolivia",-66.1582535,-17.422733,xzQgSCzX3tHhgxUv7TVf
